window_id,frame_start,frame_end,frames_count,annotation_status,gt_rows_count,validation_status,notes
0,0,29,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
1,180,209,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[180, 181, 182, 183, 184, 185, 186, 187, 188, 189]"
2,360,389,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[360, 361, 362, 363, 364, 365, 366, 367, 368, 369]"
3,540,569,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[540, 541, 542, 543, 544, 545, 546, 547, 548, 549]"
4,720,749,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[720, 721, 722, 723, 724, 725, 726, 727, 728, 729]"
5,900,929,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[900, 901, 902, 903, 904, 905, 906, 907, 908, 909]"
6,1080,1109,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[1080, 1081, 1082, 1083, 1084, 1085, 1086, 1087, 1088, 1089]"
7,1260,1289,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[1260, 1261, 1262, 1263, 1264, 1265, 1266, 1267, 1268, 1269]"
8,1440,1469,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448, 1449]"
9,1710,1739,30,NOT_STARTED,0,NOT_VALIDATED,"annotated_frames=0/30; missing_count=30; missing_preview=[1710, 1711, 1712, 1713, 1714, 1715, 1716, 1717, 1718, 1719]"
